1688580,A YEAR OF SPRINGS,-30%,$2.09,91.42%,Sep 2021,0;
1012880,60 Seconds! Reatomized,-50%,$4.99,91.29%,Jul 2019,138;
347620,Gaokao.Love.100Days,-40%,$5.99,91.20%,May 2015,0;
568220,Lobotomy Corporation | Monster Management Simulation,N/A,N/A,N/A,Apr 2018,0;
956030,Creaks,-75%,$1.49,91.07%,Jul 2020,0;
658850,Do Not Feed the Monkeys,-80%,$1.31,91.05%,Oct 2018,66;
241930,Middle-earth™: Shadow of Mordor™,-75%,$4.99,90.94%,Sep 2014,0;
1102130,Florence,-67%,$1.08,90.92%,Feb 2020,96;
394360,Hearts of Iron IV,-70%,$7.19,90.91%,Jun 2016,29934;
43110,Metro 2033,N/A,N/A,N/A,Mar 2010,138;
1063660,Bendy and the Dark Revival,-80%,$5.99,90.81%,Nov 2022,0;
979600,Kaori After Story,-75%,$2.49,90.78%,Dec 2018,0;
1135690,Unpacking,-50%,$4.99,90.73%,Nov 2021,0;
12110,Grand Theft Auto: Vice City,N/A,N/A,N/A,May 2003,0;
477740,Zero Escape: The Nonary Games,-60%,$11.99,90.70%,Mar 2017,0;
1145960,The White Door,-44%,$2.23,90.61%,Jan 2020,0;
930910,STEINS;GATE: Linear Bounded Phenogram,-50%,$29.99,90.37%,Feb 2019,0
489830,The Elder Scrolls V: Skyrim Special Edition,-80%,$4.79,90.36%,Oct 2016,318;
1174180,Red Dead Redemption 2,-67%,$19.79,90.30%,Dec 2019,894;
845070,The Awesome Adventures of Captain Spirit,N/A,N/A,N/A,Jun 2018,300;
1274570,DEVOUR,-20%,$2.39,90.19%,Jan 2021,114;
2296990,We Were Here Expeditions: The FriendShip,N/A,N/A,N/A,Sep 2023,0;
1207650,Suzerain,-70%,$3.14,90.10%,Dec 2020,0;
588040,WILL: A Wonderful World / WILL：美好世界,-20%,$11.99,90.03%,Jun 2017,0;
844670,Please Be Happy,-25%,$7.49,89.78%,Nov 2022,0;
1525700,Tavern Master,-50%,$3.99,89.73%,Nov 2021,0;
388880,Oxenfree,-70%,$2.99,89.72%,Jan 2016,0;
414700,Outlast 2,-85%,$2.24,89.63%,Apr 2017,0;
475550,Beholder,-85%,$0.86,89.62%,Nov 2016,0;
1017180,The Long Drive,-33%,$5.68,89.51%,Sep 2019,40;
22100,Mount & Blade,-75%,$0.99,89.38%,Sep 2008,3564;
312660,Sniper Elite 4,-90%,$5.99,89.37%,Feb 2017,1344;
1466640,Road 96 🛣️,-75%,$3.74,89.27%,Aug 2021,0;
8190,Just Cause 2,-90%,$1.19,89.25%,Mar 2010,342;
505230,Pathologic 2,-80%,$3.59,89.24%,May 2019,0;
1341290,We Were Here Forever,-45%,$5.10,89.10%,May 2022,120;
1172620,Sea of Thieves 2023 Edition,-50%,$19.99,89.08%,Jun 2020,648;
989790,The Vale: Shadow of the Crown,-65%,$3.67,89.04%,Aug 2021,60;
265930,Goat Simulator,-80%,$1.99,89.01%,Apr 2014,0;
978460,Emily is Away <3,-80%,$1.99,89.00%,Apr 2021,0;
